date,NDVI,sensor,field_id
2023-03-15,0.12,sn2,field_001
2023-03-27,0.14,sn2,field_001
2023-04-06,0.18,lc08,field_001
2023-04-16,0.22,sn2,field_001
2023-04-28,0.29,sn2,field_001
2023-05-10,0.38,lc08,field_001
2023-05-18,0.47,sn2,field_001
2023-05-30,0.58,sn2,field_001
2023-06-09,0.67,lc08,field_001
2023-06-19,0.74,sn2,field_001
2023-06-29,0.80,sn2,field_001
2023-07-11,0.84,lc09,field_001
2023-07-21,0.87,sn2,field_001
2023-08-02,0.86,sn2,field_001
2023-08-14,0.83,lc08,field_001
2023-08-24,0.78,sn2,field_001
2023-09-05,0.70,sn2,field_001
2023-09-17,0.61,lc09,field_001
2023-09-27,0.51,sn2,field_001
2023-10-09,0.40,sn2,field_001
2023-10-21,0.29,lc08,field_001
2023-11-02,0.19,sn2,field_001
2023-11-14,0.13,sn2,field_001
2023-03-15,0.12,sn2,field_002
2023-03-27,0.14,sn2,field_002
2023-04-06,0.18,lc08,field_002
2023-04-16,0.22,sn2,field_002
2023-04-28,0.29,sn2,field_002
2023-05-10,0.38,lc08,field_002
2023-05-18,0.47,sn2,field_002
2023-05-30,0.58,sn2,field_002
2023-06-09,0.67,lc08,field_002
2023-06-19,0.74,sn2,field_002
2023-06-29,0.80,sn2,field_002
2023-07-11,0.84,lc09,field_002
2023-07-21,0.87,sn2,field_002
